"Step","baseline-training - Train Acc","baseline-training - Train Acc__MIN","baseline-training - Train Acc__MAX"
"0","16.672","16.672","16.672"
"2","27.33","27.33","27.33"
"4","32.312","32.312","32.312"
"6","35.664","35.664","35.664"
"8","39.208","39.208","39.208"
"10","43.016","43.016","43.016"
"12","46.644","46.644","46.644"
"14","50.382","50.382","50.382"
"16","53.832","53.832","53.832"
"18","56.064","56.064","56.064"
"20","58.3","58.3","58.3"
"22","59.358","59.358","59.358"
"24","61.29","61.29","61.29"
"26","62.686","62.686","62.686"
"28","63.95","63.95","63.95"
"30","64.508","64.508","64.508"
"32","65.202","65.202","65.202"
"34","65.696","65.696","65.696"
"36","66.162","66.162","66.162"
"38","67.018","67.018","67.018"
"40","67.24","67.24","67.24"
"42","67.618","67.618","67.618"
"44","67.642","67.642","67.642"
"46","67.998","67.998","67.998"
"48","68.356","68.356","68.356"
"50","69.162","69.162","69.162"
"52","68.88","68.88","68.88"
"54","69.382","69.382","69.382"
"56","69.474","69.474","69.474"
"58","70.228","70.228","70.228"
"60","70.104","70.104","70.104"
"62","70.124","70.124","70.124"
"64","70.956","70.956","70.956"
"66","71.02","71.02","71.02"
"68","71.13","71.13","71.13"
"70","71.304","71.304","71.304"
"72","71.266","71.266","71.266"
"74","71.668","71.668","71.668"
"76","71.996","71.996","71.996"
"78","71.746","71.746","71.746"
"80","72.51","72.51","72.51"
"82","72.416","72.416","72.416"
"84","72.584","72.584","72.584"
"86","73.206","73.206","73.206"
"88","73.27","73.27","73.27"
"90","73.2","73.2","73.2"
"92","73.732","73.732","73.732"
"94","73.836","73.836","73.836"
"96","73.902","73.902","73.902"
"98","74.382","74.382","74.382"
"100","74.72","74.72","74.72"
"102","74.704","74.704","74.704"
"104","74.99","74.99","74.99"
"106","75.332","75.332","75.332"
"108","75.58","75.58","75.58"
"110","75.7","75.7","75.7"
"112","76.228","76.228","76.228"
"114","76.242","76.242","76.242"
"116","76.762","76.762","76.762"
"118","76.948","76.948","76.948"
"120","77.006","77.006","77.006"
"122","77.318","77.318","77.318"
"124","77.68","77.68","77.68"
"126","78.216","78.216","78.216"
"128","78.358","78.358","78.358"
"130","78.44","78.44","78.44"
"132","78.774","78.774","78.774"
"134","78.936","78.936","78.936"
"136","79.414","79.414","79.414"
"138","79.788","79.788","79.788"
"140","79.896","79.896","79.896"
"142","80.248","80.248","80.248"
"144","80.79","80.79","80.79"
"146","81","81","81"
"148","81.432","81.432","81.432"
"150","81.98","81.98","81.98"
"152","82.22","82.22","82.22"
"154","82.36","82.36","82.36"
"156","82.52","82.52","82.52"
"158","83.102","83.102","83.102"
"160","83.296","83.296","83.296"
"162","83.668","83.668","83.668"
"164","84.268","84.268","84.268"
"166","84.368","84.368","84.368"
"168","84.522","84.522","84.522"
"170","85.084","85.084","85.084"
"172","85.428","85.428","85.428"
"174","85.74","85.74","85.74"
"176","86.296","86.296","86.296"
"178","86.366","86.366","86.366"
"180","86.574","86.574","86.574"
"182","86.904","86.904","86.904"
"184","87.402","87.402","87.402"
"186","87.404","87.404","87.404"
"188","87.724","87.724","87.724"
"190","87.67","87.67","87.67"
"192","87.86","87.86","87.86"
"194","87.97","87.97","87.97"
"196","88.09","88.09","88.09"
"198","87.936","87.936","87.936"